iter	PRAUC	Logloss
0	0.9800500235	0.6053157046
1	0.9820051189	0.5402829247
2	0.9819965854	0.4852909221
3	0.983548256	0.4353611768
4	0.9843255618	0.3953627036
5	0.9874357669	0.351847718
6	0.9877516874	0.3214060764
7	0.9882356752	0.2943890344
8	0.9884465696	0.2696104361
9	0.9888434776	0.2520389413
10	0.9889671363	0.2375464447
11	0.9891456017	0.225779313
12	0.9889640331	0.2178691343
13	0.9894782859	0.2037464823
14	0.9896137687	0.1952321089
15	0.9902419969	0.1867687834
16	0.9904760055	0.1799352053
17	0.9910498676	0.1700149732
18	0.991394771	0.1643600034
19	0.991602825	0.158433564
20	0.9923612653	0.1510245595
21	0.9927769557	0.1449357114
22	0.9930991898	0.1400085786
23	0.99321284	0.1376349626
24	0.9934156915	0.1340156785
25	0.9935137096	0.1321474462
26	0.9939556233	0.1265988771
27	0.9941722626	0.1231197384
28	0.9942440597	0.1206867261
29	0.9943730447	0.119309999
30	0.994442189	0.1180133908
31	0.9947492745	0.1130452123
32	0.9948349127	0.1119859798
33	0.994896147	0.1106531909
34	0.9950320787	0.1091765255
35	0.9951804394	0.1068393053
36	0.9951781405	0.1066663477
37	0.9954839943	0.1038223547
38	0.9955313659	0.1033457675
39	0.9956281822	0.1020743135
40	0.9956941887	0.1012540914
41	0.9957476211	0.1005341248
42	0.995813307	0.0998519693
43	0.9959915388	0.09757751382
44	0.9960476526	0.09709178485
45	0.9961258436	0.09620015737
46	0.9963399916	0.0937654233
47	0.9963916288	0.09312282942
48	0.9964181437	0.09280898175
49	0.9965435735	0.09135762061
50	0.9965676181	0.0910585707
51	0.9967142652	0.08917662085
52	0.9968153143	0.0873698052
53	0.9969300926	0.08552884839
54	0.9969665676	0.0848877903
55	0.997097476	0.08315984516
56	0.9972199923	0.08138231276
57	0.9972727605	0.0807655423
58	0.9973856439	0.07864539219
59	0.9974484139	0.07726600693
60	0.9974904825	0.07656634063
61	0.9975038631	0.07637413207
62	0.9975560183	0.0755174798
63	0.9975872855	0.07492898983
64	0.9976260015	0.07435266185
65	0.9976481208	0.07387553831
66	0.9976663106	0.07338359129
67	0.9976944857	0.07282359026
68	0.9976987554	0.07276670339
69	0.9977306719	0.07181997909
70	0.9977496513	0.07147399731
71	0.997809286	0.07046817253
72	0.997848779	0.06981901846
73	0.9978620026	0.06959806127
74	0.9979069986	0.06866173796
75	0.9979419637	0.06793447916
76	0.9979475494	0.06784900882
77	0.9979780599	0.06726182564
78	0.9979915279	0.06685129963
79	0.9980286839	0.06614416875
80	0.9980376487	0.06597064329
81	0.9980548778	0.06574191088
82	0.9981147213	0.06494188487
83	0.9981138285	0.06492915002
84	0.9981195994	0.0648510048
85	0.9981296306	0.06470263502
86	0.9981580763	0.06405567466
87	0.9981594267	0.06403227417
88	0.9981818862	0.06365796103
89	0.998188195	0.06359109359
